date,item_name,quantity,unit_price,total_price,shipping_cost,post_code,currency
2026-02-16,widget,1,3.22,3.22,2.35,EH3 6LP,GBP
2026-02-16,lantern,1,7.98,7.98,2.10,G1 2FF,GBP
2026-02-15,brick,1,5.44,5.44,1.95,SW1A 1AA,GBP
2026-02-15,compass,1,2.88,2.88,2.45,EH1 1BQ,GBP
2026-02-15,cup,1,1.77,1.77,1.80,BT1 5GS,GBP
2026-02-14,bolt,1,4.10,4.10,2.60,AB11 6FD,GBP
2026-02-14,helmet,1,8.25,8.25,2.75,LE1 4NA,GBP
2026-02-14,strap,1,0.90,0.90,1.55,EH5 2JL,GBP
2026-02-13,glove,1,3.66,3.66,2.50,NE1 8QH,GBP
2026-02-13,mirror,1,6.44,6.44,2.10,BS1 4ST,GBP
2026-02-13,torch,1,9.22,9.22,2.80,EH12 7TG,GBP
2026-02-12,coin,1,0.77,0.77,1.65,CF10 1EP,GBP
2026-02-12,rope,1,5.10,5.10,1.90,IV2 3UW,GBP
2026-02-12,flask,1,2.44,2.44,2.35,LS1 9UR,GBP
2026-02-12,glass,1,1.33,1.33,1.20,NG1 4FQ,GBP
2026-02-11,lamp,1,7.89,7.89,2.45,EH8 9YL,GBP
2026-02-11,wire,1,3.11,3.11,2.05,PH1 5JP,GBP
2026-02-11,blanket,1,8.99,8.99,2.95,RG1 1TT,GBP
2026-02-11,bottle,1,4.30,4.30,1.10,EH4 3HZ,GBP
2026-02-10,spoon,1,1.40,1.40,1.90,M1 1AE,GBP
2026-02-10,plate,1,2.90,2.90,2.50,EH3 8HT,GBP
2026-02-10,knife,1,3.44,3.44,2.60,G2 7HF,GBP
2026-02-10,chair,1,9.12,9.12,2.40,EH9 2BL,GBP
2026-02-09,book,1,4.20,4.20,2.95,LS2 3FA,GBP
2026-02-09,pen,1,1.33,1.33,1.20,NE2 1AN,GBP
2026-02-09,clock,1,6.80,6.80,2.70,EH10 4AX,GBP
2026-02-09,kettle,1,7.44,7.44,2.30,M3 2FE,GBP
2026-02-08,tablet,1,4.99,4.99,2.55,EH11 3XX,GBP
2026-02-08,ball,1,2.11,2.11,1.40,G3 7UE,GBP
2026-02-08,glasses,1,6.66,6.66,2.15,BS2 0YY,GBP
2026-02-07,brush,1,3.55,3.55,2.65,EH6 5TF,GBP
2026-02-07,stool,1,7.90,7.90,2.30,AB10 1AL,GBP
2026-02-07,towel,1,2.20,2.20,1.55,NG2 5RT,GBP
2026-02-07,needle,1,1.10,1.10,1.85,EH7 4BD,GBP
2026-02-06,lock,1,5.40,5.40,2.35,EH4 2PH,GBP
2026-02-06,wallet,1,7.55,7.55,2.30,G5 9EE,GBP
2026-02-06,apple,1,0.88,0.88,1.95,EH1 3QR,GBP
2026-02-05,fan,1,8.22,8.22,2.95,NE3 5FA,GBP
2026-02-05,cable,1,2.77,2.77,1.90,M4 5FT,GBP
2026-02-05,case,1,4.30,4.30,2.25,EH12 5DD,GBP
2026-02-04,needle,1,1.44,1.44,1.55,AB24 1LS,GBP
2026-02-04,wood,1,3.10,3.10,2.75,EH5 1HY,GBP
2026-02-04,charger,1,8.99,8.99,2.60,SW1P 1AA,GBP
2026-02-03,paint,1,6.50,6.50,2.80,G12 8QQ,GBP
2026-02-03,mug,1,2.10,2.10,1.45,EH3 2EE,GBP
2026-02-03,thread,1,1.00,1.00,1.80,BS5 9ZZ,GBP
2026-02-03,bear,1,3.50,3.50,2.20,LS4 3RT,GBP
2026-02-03,pot,1,4.66,4.66,2.55,EH14 5YU,GBP
2026-02-02,tape,1,2.35,2.35,1.20,M2 4PL,GBP
2026-02-02,mouse,1,9.10,9.10,2.95,EH15 2JK,GBP
2026-02-02,map,1,3.44,3.44,2.25,AB21 4RJ,GBP
2026-02-02,sticker,1,0.66,0.66,1.50,EH2 1BP,GBP
2026-02-01,folder,1,1.25,1.25,1.20,NE4 1TL,GBP
2026-02-01,torch,1,7.10,7.10,2.70,EH16 4DU,GBP
2026-02-01,hat,1,4.70,4.70,1.95,LS5 3FU,GBP
2026-01-31,needle,1,1.12,1.12,1.35,G41 3HG,GBP
2026-01-31,frame,1,8.33,8.33,2.55,EH17 7TU,GBP
2026-01-31,charger,1,6.11,6.11,2.45,EH13 3QR,GBP
2026-01-31,teapot,1,5.44,5.44,1.80,NE5 8TW,GBP
2026-01-30,notebook,1,4.88,4.88,1.95,M5 2AA,GBP
2026-01-30,jar,1,2.33,2.33,1.45,AB25 3RD,GBP
2026-01-30,shoe,1,7.99,7.99,2.90,EH3 1KK,GBP
2026-01-30,knife,1,3.77,3.77,2.35,G20 4LP,GBP
2026-01-30,brush,1,1.44,1.44,1.10,EH22 2GG,GBP
2026-01-29,wood,1,2.50,2.50,1.55,BS3 9QS,GBP
2026-01-29,basket,1,6.33,6.33,2.00,EH99 1SP,GBP
2026-01-29,pouch,1,3.88,3.88,2.35,LS7 3FM,GBP
2026-01-29,clip,1,0.90,0.90,1.30,G34 0UF,GBP
2026-01-29,flute,1,9.00,9.00,2.95,EH18 1FY,GBP
2026-01-28,quill,1,1.10,1.10,1.65,AB11 2UJ,GBP
2026-01-28,pencil,1,0.77,0.77,1.55,NE6 4DQ,GBP
2026-01-28,bowl,1,2.88,2.88,2.20,EH23 4HF,GBP
2026-01-28,crate,1,4.11,4.11,2.45,LS6 1BT,GBP
2026-01-28,screen,1,7.55,7.55,2.95,G51 4AF,GBP
2026-01-28,stone,1,3.44,3.44,2.35,EH24 5JN,GBP
2026-01-28,pen,1,1.30,1.30,1.25,EH30 9EY,GBP
2026-01-28,wire,1,3.10,3.10,2.10,BS8 2HR,GBP
2026-01-28,box,1,4.88,4.88,1.90,EH31 2HN,GBP
2026-01-28,paper,1,0.66,0.66,1.45,LS8 5PL,GBP
2026-01-28,meter,1,9.30,9.30,2.75,G11 3AX,GBP
2026-01-28,rope,1,5.55,5.55,2.40,EH32 0LP,GBP
2026-01-28,fuse,1,2.55,2.55,1.80,M6 7RT,GBP
2026-01-28,card,1,1.77,1.77,1.60,EH33 5DM,GBP
2026-01-28,gear,1,7.22,7.22,2.50,G73 2XN,GBP